VISIBILITYSTATE,BUCKET,COUNT
hidden,1,12992
hidden,2,42977
hidden,3,60482
hidden,4,78764
hidden,5,90403
hidden,6,94694
hidden,7,94651
hidden,8,93361
hidden,9,89758
hidden,10,84570
hidden,11,79399
hidden,12,73514
hidden,13,68145
hidden,14,62345
hidden,15,58552
hidden,16,56893
hidden,17,56370
hidden,18,54050
hidden,19,48345
hidden,20,41439
hidden,21,36512
hidden,22,32396
hidden,23,29283
hidden,24,26664
hidden,25,24098
hidden,26,22314
hidden,27,19980
hidden,28,18696
hidden,29,16525
hidden,30,15396
hidden,31,14004
hidden,32,13007
hidden,33,12279
hidden,34,11320
hidden,35,10453
hidden,36,9674
hidden,37,8999
hidden,38,8361
hidden,39,8006
hidden,40,7310
hidden,41,6916
hidden,42,6431
hidden,43,6020
hidden,44,5784
hidden,45,5247
hidden,46,5038
hidden,47,4856
hidden,48,4453
hidden,49,4256
hidden,50,3997
hidden,51,3821
hidden,52,3566
hidden,53,3387
hidden,54,3155
hidden,55,3033
hidden,56,2843
hidden,57,2689
hidden,58,2582
hidden,59,2435
hidden,60,2282
hidden,61,2199
hidden,62,2195
hidden,63,2064
hidden,64,1967
hidden,65,1892
hidden,66,1843
hidden,67,1738
hidden,68,1655
hidden,69,1637
hidden,70,1451
hidden,71,1455
hidden,72,1343
hidden,73,1348
hidden,74,1246
hidden,75,1198
hidden,76,1177
hidden,77,1142
hidden,78,1135
hidden,79,1100
hidden,80,1053
hidden,81,1037
hidden,82,1051
hidden,83,982
hidden,84,903
hidden,85,910
hidden,86,879
hidden,87,875
hidden,88,859
hidden,89,749
hidden,90,731
hidden,91,728
hidden,92,671
hidden,93,647
hidden,94,617
hidden,95,593
hidden,96,625
hidden,97,597
hidden,98,547
hidden,99,547
hidden,100,526
hidden,101,4854
hidden,102,3868
hidden,103,3009
hidden,104,2436
hidden,105,1977
hidden,106,1628
hidden,107,1495
hidden,108,1277
hidden,109,1037
hidden,110,882
hidden,111,792
hidden,112,780
hidden,113,636
hidden,114,603
hidden,115,524
hidden,116,465
hidden,117,392
hidden,118,369
hidden,119,321
hidden,120,313
hidden,121,274
hidden,122,303
hidden,123,294
hidden,124,234
hidden,125,227
hidden,126,212
hidden,127,213
hidden,128,176
hidden,129,155
hidden,130,164
hidden,131,172
hidden,132,154
hidden,133,124
hidden,134,130
hidden,135,121
hidden,136,101
hidden,137,114
hidden,138,106
hidden,139,97
hidden,140,87
hidden,141,68
hidden,142,72
hidden,143,78
hidden,144,68
hidden,145,70
hidden,146,53
hidden,147,60
hidden,148,56
hidden,149,51
hidden,150,50
hidden,151,2674
partial,1,568
partial,2,2099
partial,3,3888
partial,4,5662
partial,5,7418
partial,6,8191
partial,7,8810
partial,8,9230
partial,9,9286
partial,10,9017
partial,11,8611
partial,12,8062
partial,13,7460
partial,14,6671
partial,15,6098
partial,16,5732
partial,17,5273
partial,18,4798
partial,19,4504
partial,20,4319
partial,21,4081
partial,22,3604
partial,23,3404
partial,24,3176
partial,25,2882
partial,26,2748
partial,27,2648
partial,28,2429
partial,29,2249
partial,30,2162
partial,31,2031
partial,32,1857
partial,33,1847
partial,34,1721
partial,35,1544
partial,36,1512
partial,37,1459
partial,38,1338
partial,39,1329
partial,40,1202
partial,41,1209
partial,42,1094
partial,43,1073
partial,44,979
partial,45,1003
partial,46,929
partial,47,941
partial,48,862
partial,49,823
partial,50,734
partial,51,709
partial,52,717
