NAVIGATIONTYPE,BUCKET,COUNT
,1,741
,2,1970
,3,8309
,4,8573
,5,7204
,6,5257
,7,4009
,8,3094
,9,2693
,10,2276
,11,2061
,12,1770
,13,1622
,14,1535
,15,1335
,16,1267
,17,1085
,18,988
,19,871
,20,750
,21,682
,22,610
,23,524
,24,501
,25,445
,26,402
,27,408
,28,365
,29,323
,30,269
,31,270
,32,229
,33,250
,34,223
,35,188
,36,195
,37,168
,38,168
,39,144
,40,130
,41,153
,42,136
,43,123
,44,95
,45,88
,46,88
,47,84
,48,72
,49,82
,50,67
,51,57
,52,76
,53,58
,54,64
,55,45
,56,44
,57,56
,58,48
,59,41
,60,39
,61,37
,62,42
,63,31
,64,32
,65,29
,66,33
,67,27
,68,32
,69,23
,70,26
,71,27
,72,25
,73,22
,74,23
,75,19
,76,20
,77,12
,78,21
,79,11
,80,18
,81,13
,82,11
,83,8
,84,14
,85,8
,86,15
,87,8
,88,6
,89,6
,90,10
,91,10
,92,6
,93,15
,94,2
,95,12
,96,3
,97,2
,98,6
,99,11
,100,4
,101,49
,102,31
,103,28
,104,30
,105,18
,106,19
,107,20
,108,10
,109,6
,110,14
,111,20
,112,10
,113,14
,114,11
,115,5
,116,5
,117,7
,118,2
,119,4
,120,4
,121,4
,122,1
,123,1
,124,1
,126,2
,128,2
,129,1
,130,2
,131,4
,132,1
,133,1
,134,1
,135,3
,137,2
,138,6
,142,1
,145,1
,146,1
,151,21
back forward,1,296283
back forward,2,805184
back forward,3,1032393
back forward,4,1076879
back forward,5,946919
back forward,6,798621
back forward,7,678189
back forward,8,588580
back forward,9,509773
back forward,10,452561
back forward,11,411755
back forward,12,379143
back forward,13,344316
back forward,14,305597
back forward,15,268682
back forward,16,232523
back forward,17,200380
back forward,18,172028
back forward,19,148650
back forward,20,128002
back forward,21,110321
back forward,22,95972
back forward,23,83116
back forward,24,72433
back forward,25,62662
back forward,26,55559
back forward,27,48900
back forward,28,43640
back forward,29,38950
back forward,30,35272
back forward,31,32083
back forward,32,29508
back forward,33,27758
back forward,34,25481
back forward,35,23547
back forward,36,21447
back forward,37,19988
back forward,38,18271
back forward,39,17006
back forward,40,15700
back forward,41,14270
back forward,42,13398
back forward,43,12615
back forward,44,11847
back forward,45,10755
back forward,46,10186
back forward,47,9459
back forward,48,8637
back forward,49,8304
back forward,50,7497
back forward,51,6871
back forward,52,6618
back forward,53,5990
back forward,54,5567
back forward,55,5210
back forward,56,4858
back forward,57,4653
back forward,58,4428
back forward,59,4134
back forward,60,3730
back forward,61,3576
back forward,62,3216
back forward,63,3207
back forward,64,2996
back forward,65,2795
back forward,66,2701
back forward,67,2517
back forward,68,2314
back forward,69,2273
back forward,70,2132
back forward,71,2049
back forward,72,1920
back forward,73,1842
back forward,74,1789
back forward,75,1706
back forward,76,1642
back forward,77,1528
back forward,78,1439
back forward,79,1489
back forward,80,1330
back forward,81,1335
back forward,82,1229
back forward,83,1249
back forward,84,1172
back forward,85,1135
back forward,86,1158
back forward,87,1009
back forward,88,962
back forward,89,925
back forward,90,939
back forward,91,865
back forward,92,826
back forward,93,768
back forward,94,782
back forward,95,789
back forward,96,714
back forward,97,702
back forward,98,671
