VISIBILITYSTATE,BUCKET,COUNT
,1,9
hidden,0,139535
hidden,1,29761
hidden,2,34099
hidden,3,48838
hidden,4,50765
hidden,5,50172
hidden,6,51388
hidden,7,54208
hidden,8,60228
hidden,9,68777
hidden,10,74268
hidden,11,78420
hidden,12,85706
hidden,13,93052
hidden,14,98664
hidden,15,104663
hidden,16,112322
hidden,17,119406
hidden,18,125830
hidden,19,131090
hidden,20,135038
hidden,21,138305
hidden,22,139250
hidden,23,137904
hidden,24,135584
hidden,25,132299
hidden,26,129879
hidden,27,125978
hidden,28,121747
hidden,29,118110
hidden,30,113835
hidden,31,108772
hidden,32,105136
hidden,33,101000
hidden,34,95549
hidden,35,91313
hidden,36,87956
hidden,37,83233
hidden,38,79383
hidden,39,75895
hidden,40,72219
hidden,41,68334
hidden,42,65959
hidden,43,62405
hidden,44,59275
hidden,45,57364
hidden,46,54838
hidden,47,52698
hidden,48,50281
hidden,49,48495
hidden,50,46538
hidden,51,45053
hidden,52,43183
hidden,53,41659
hidden,54,40061
hidden,55,38898
hidden,56,37492
hidden,57,36309
hidden,58,34966
hidden,59,33994
hidden,60,33242
hidden,61,31956
hidden,62,30927
hidden,63,30126
hidden,64,29186
hidden,65,28589
hidden,66,28100
hidden,67,27286
hidden,68,26939
hidden,69,26071
hidden,70,25624
hidden,71,24827
hidden,72,24373
hidden,73,24087
hidden,74,23461
hidden,75,23018
hidden,76,22681
hidden,77,22204
hidden,78,21879
hidden,79,21059
hidden,80,21251
hidden,81,20486
hidden,82,20069
hidden,83,19608
hidden,84,19520
hidden,85,18975
hidden,86,18860
hidden,87,18642
hidden,88,17872
hidden,89,17985
hidden,90,17727
hidden,91,17219
hidden,92,16930
hidden,93,17032
hidden,94,16508
hidden,95,16463
hidden,96,15966
hidden,97,15696
hidden,98,15589
hidden,99,15399
hidden,100,15243
hidden,101,148497
hidden,102,149228
hidden,103,118811
hidden,104,90350
hidden,105,75066
hidden,106,63232
hidden,107,55296
hidden,108,48048
hidden,109,43182
hidden,110,38342
hidden,111,34698
hidden,112,31377
hidden,113,28292
hidden,114,25856
hidden,115,23236
hidden,116,20544
hidden,117,19070
hidden,118,17224
hidden,119,16146
hidden,120,14931
hidden,121,13716
hidden,122,13013
hidden,123,11986
hidden,124,11022
hidden,125,10355
hidden,126,9130
hidden,127,8749
hidden,128,8194
hidden,129,7567
hidden,130,7189
hidden,131,6697
hidden,132,6284
hidden,133,5974
hidden,134,5567
hidden,135,5189
hidden,136,5069
hidden,137,4743
hidden,138,4354
hidden,139,4255
hidden,140,4082
hidden,141,3759
hidden,142,3577
hidden,143,3308
hidden,144,3348
hidden,145,3180
hidden,146,3010
hidden,147,2928
hidden,148,2819
hidden,149,2695
hidden,150,2672
hidden,151,121745
partial,0,1829
partial,1,526
partial,2,1118
partial,3,1333
partial,4,1195
partial,5,987
partial,6,923
partial,7,892
partial,8,787
partial,9,785
partial,10,766
partial,11,778
partial,12,810
partial,13,837
partial,14,838
partial,15,912
partial,16,930
partial,17,889
partial,18,992
partial,19,940
partial,20,1067
partial,21,1047
partial,22,1083
partial,23,1145
partial,24,1146
partial,25,1189
partial,26,1182
partial,27,1167
partial,28,1100
partial,29,1084
partial,30,1188
partial,31,1107
partial,32,1135
partial,33,1158
partial,34,1143
partial,35,1160
partial,36,1113
partial,37,1172
partial,38,1053
partial,39,1207
partial,40,1145
partial,41,1105
partial,42,1174
partial,43,1121
partial,44,1115
partial,45,1046
partial,46,1028
partial,47,1074
partial,48,1014
partial,49,987
partial,50,1003
partial,51,969
partial,52,929
partial,53,967
partial,54,993
partial,55,942
partial,56,919
partial,57,924
partial,58,938
partial,59,886
partial,60,868
partial,61,918
partial,62,836
partial,63,887
partial,64,802
partial,65,820
partial,66,813
partial,67,787
partial,68,779
partial,69,806
partial,70,769
partial,71,764
partial,72,750
partial,73,773
partial,74,754
partial,75,695
partial,76,784
partial,77,727
partial,78,792
partial,79,773
partial,80,672
partial,81,747
partial,82,766
partial,83,772
partial,84,710
partial,85,716
partial,86,692
partial,87,717
partial,88,769
partial,89,693
partial,90,725
partial,91,708
partial,92,690
partial,93,677
partial,94,668
partial,95,670
partial,96,734
partial,97,710
partial,98,642
partial,99,669
partial,100,664
partial,101,6195
partial,102,5457
partial,103,4820
partial,104,4170
partial,105,3495
partial,106,3211
partial,107,2751
partial,108,2541
partial,109,2261
partial,110,1949
partial,111,1775
partial,112,1629
partial,113,1476
partial,114,1386
partial,115,1166
partial,116,1078
partial,117,1070
partial,118,938
partial,119,907
partial,120,835
partial,121,778
partial,122,688
partial,123,628
partial,124,657
partial,125,585
partial,126,544
partial,127,507
partial,128,491
partial,129,454
partial,130,410
partial,131,396
partial,132,361
partial,133,328
partial,134,344
partial,135,313
partial,136,313
partial,137,306
partial,138,221
partial,139,259
partial,140,224
partial,141,254
partial,142,233
partial,143,203
partial,144,186
partial,145,156
partial,146,193
partial,147,177
partial,148,141
partial,149,158
partial,150,141
partial,151,8394
visible,0,1108192
visible,1,449237
visible,2,371483
visible,3,272367
visible,4,288677
visible,5,367723
visible,6,438989
visible,7,474885
visible,8,486965
visible,9,497882
visible,10,507304
visible,11,517805
visible,12,526431
visible,13,533415
visible,14,541586
visible,15,545238
visible,16,546886
visible,17,546649
visible,18,544638
visible,19,541784
visible,20,536460
visible,21,533862
visible,22,532745
visible,23,526740
visible,24,520517
visible,25,511431
visible,26,503282
visible,27,496857
visible,28,486860
visible,29,478264
visible,30,471025
visible,31,463155
visible,32,457247
visible,33,453650
visible,34,449306
visible,35,444012
visible,36,441318
visible,37,437845
visible,38,431564
visible,39,427165
visible,40,420071
visible,41,411916
visible,42,406424
visible,43,398361
visible,44,393370
visible,45,388756
visible,46,380872
visible,47,375461
visible,48,367713
visible,49,364082
visible,50,355154
visible,51,348420
visible,52,342305
visible,53,336807
visible,54,331566
visible,55,325663
visible,56,320308
visible,57,315703
visible,58,310111
visible,59,306002
visible,60,300367
visible,61,293044
visible,62,288963
visible,63,283455
visible,64,278788
visible,65,274203
visible,66,269037
visible,67,264701
visible,68,260131
visible,69,256252
visible,70,253141
visible,71,248032
visible,72,245273
visible,73,241191
visible,74,237988
visible,75,235777
visible,76,233004
visible,77,231205
visible,78,227636
visible,79,224903
visible,80,221557
visible,81,219024
visible,82,215270
visible,83,212961
visible,84,209886
visible,85,207426
visible,86,205574
visible,87,203143
visible,88,199691
visible,89,195673
visible,90,194913
visible,91,189007
visible,92,188571
visible,93,184850
visible,94,181539
visible,95,178918
visible,96,176602
visible,97,173499
visible,98,171300
visible,99,168588
visible,100,166764
visible,101,1522822
visible,102,1262855
visible,103,1054300
visible,104,876017
visible,105,734594
visible,106,627223
visible,107,538082
visible,108,462600
visible,109,402579
visible,110,351806
visible,111,312282
visible,112,277865
visible,113,247961
visible,114,221039
visible,115,197372
visible,116,176096
visible,117,159843
visible,118,146689
visible,119,134245
visible,120,122367
visible,121,111684
visible,122,102802
visible,123,97510
visible,124,90857
visible,125,83186
visible,126,75284
visible,127,69559
visible,128,64818
visible,129,59663
visible,130,55152
visible,131,51335
visible,132,47211
visible,133,44111
visible,134,41285
visible,135,38142
visible,136,35440
visible,137,33306
visible,138,31212
visible,139,28973
visible,140,27241
visible,141,25669
visible,142,23534
visible,143,22894
visible,144,21557
visible,145,20380
visible,146,18938
visible,147,17862
visible,148,17164
visible,149,15984
visible,150,15188
visible,151,525288
